title,text,subject,date,label
"London Zoo reopens after fire that killed aardvark, meerkats","LONDON (Reuters) - London Zoo reopened on Sunday, a day after a fire that killed an aardvark and likely four meerkats and which left staff suffering from smoke inhalation and shock. The Zoo said an initial post mortem showed the aardvark named Misha most likely died from smoke inhalation whilst sleeping, while the four meerkats unaccounted for were presumed to have died.  We are all naturally devastated by this but are immensely grateful to the fire brigade, who reacted quickly to the situation to bring the fire under control,  ZSL London Zoo said in a statement on Sunday.  After consultation with fire experts attending yesterday, we are able to safely open the zoo today.  The fire broke out shortly after 0600 GMT on Saturday in the Animal Adventure section before spreading to a shop and cafe at the site in Regent s Park in central London. The zoo, which dates from 1826, said it was too soon to speculate on the cause of the fire. ",worldnews,"December 24, 2017 ",1
Turkey wants to bring wounded from Syria's Ghouta for treatment,"ISTANBUL (Reuters) - Turkey is working with Russia to evacuate around 500 people from the besieged Damascus suburb of eastern Ghouta, Turkish President Tayyip Erdogan said on Sunday.  There are around 500 people, including 170 children and women who need urgent humanitarian aid,  Erdogan said ahead of his departure on an official visit to Sudan. He said he had discussed the issue with Russian counterpart Vladimir Putin. Ankara aimed to bring people in need of assistance to Turkey to provide treatment and care. The Russian and Turkish chiefs of staff would discuss the  steps to be taken in operations that would also involve the  Turkish Red Cresent and Turkey s Disaster and Emergency Organisation (AFAD), Erdogan said. In November, the U.N. humanitarian adviser for Syria called the situation in eastern Ghouta a humanitarian emergency. ",worldnews,"December 24, 2017 ",1
Egypt FM to head to Ethiopia after Nile dam talks stall,"CAIRO (Reuters) - Egypt s Foreign Minister Sameh Shoukry will visit Addis Ababa next week for talks with his Ethiopian counterpart, a foreign ministry spokesman said, in a bid to end a standoff over a multi-billion dollar dam project on the Nile river. The dispute, which also involves Sudan, centers on control of a share of the waters of the Nile that stretches 6,695 km (4,184 miles) from Lake Victoria to the Mediterranean and is the economic lifeblood of all three countries. Cairo says the dam would threaten water supplies that have fed Egypt s agriculture and economy for thousands of years. Ethiopia says the Grand Renaissance Dam, which it hopes will help make it Africa s largest power exporter, will have no major effect on Egypt. It accuses Cairo of flexing its political muscle to deter financiers from backing other Ethiopian power projects. Delegations from Egypt, Sudan and Ethiopia met in Cairo in November to approve a study by a French firm commissioned to assess the dam s environmental and economic impact. But negotiations stalled when they failed to agree on the initial report with each blaming others for blocking progress. Sudan s Irrigation Minister Moataz Moussa said Egypt was unwilling to accept amendments to the report put forward by Khartoum and Addis Ababa. Sudan and Ethiopia had expressed concern over several points, especially the proposed baseline from which the study would measure the dam s impacts, Moussa said in November. Another source of disagreement is whether Ethiopia plans to complete construction before negotiations over water flows have finished.  It s clear they don t want to reach conclusions quickly. We believe they probably want to start filling the dam and complete construction while there are still some ongoing discussions,  said Mahmoud Abou Zeid, Arab Water Council Chair and former Egyptian irrigation minister. He said this would violate an agreement signed by all three countries in Khartoum in 2015 meant to ensure diplomatic cooperation and stem fears of a resource conflict. Cairo fears the 6,000-megawatt dam, being built by Italy s largest construction firm, Salini Impregilo SpA, and due for completion next year, will reduce the flow it depends on for drinking water and irrigation. Egyptian officials say safeguarding the country s quota of Nile water is a matter of national security.  No one can touch Egypt s water ... (which) means life or death for a population,  President Abdel Fattah al-Sisi said last month. ",worldnews,"December 24, 2017 ",1
"China closes more than 13,000 websites in past three years","BEIJING (Reuters) - China has closed more than 13,000 websites since the beginning of 2015 for breaking the law or other rules and the vast majority of people support government efforts to clean up cyberspace, state news agency Xinhua said on Sunday. The government has stepped up already tight controls over the internet since President Xi Jinping took power five years ago, in what critics say is an effort to restrict freedom of speech and prevent criticism of the ruling Communist Party. The government says all countries regulate the internet, and its rules are aimed at ensuring national security and social stability and preventing the spread of pornography and violent content. A report to the on-going session of the standing committee of China s largely rubber stamp parliament said the authorities had targeted pornography and violence in their sweeps of websites, blogs and social media accounts, Xinhua said. As well as the 13,000 websites shut down, almost 10 million accounts had also been closed by websites, it added. It did not give details but the accounts were likely on social media platforms.  Internet security concerns the party s long-term hold on power, the country s long-term peace and stability, socio-economic development and the people s personal interests,  Xinhua said. More than 90 percent of people surveyed supported government efforts to manage the internet, with 63.5 percent of them believing that in recent years there has been an obvious reduction in harmful online content, it added.  These moves have a powerful deterrent effect,  Wang Shengjun, vice chairman of parliament s standing committee, told legislators, according to Xinhua. Authorities including the Cyberspace Administration of China have summoned more than 2,200 websites operators for talks during the same period, he said. Separately, Xinhua said that over the past five years, more than 10 million people who refused to register using their real names had internet or other telecoms accounts suspended. China ushered in a tough cyber security law in June, following years of fierce debate around the controversial legislation that many foreign business groups fear will hit their ability to operate in the country. China maintains a strict censorship regime, banning access to many foreign news outlets, search engines and social media including Google (GOOGL.O) and Facebook (FB.O). ",worldnews,"December 24, 2017 ",1
"Turkey dismisses more than 2,700 with emergency rule decree","ISTANBUL (Reuters) - Turkey said on Sunday that 2,756 people were dismissed from their jobs in public institutions including soldiers, teachers and ministry personnel over links to  terror  organizations. The dismissed personnel were found to be members of, or linked to,  terror  groups, structures and entities that act against national security, according to a decree published in the Official Gazette. Some 50,000 people have been arrested since a failed putsch in July last year and about 150,000 have been dismissed or suspended from their posts, including soldiers, police, teachers and public servants, over alleged links with the movement of U.S-based cleric Fethullah Gulen. The government accused Gulen of organizing the attempted coup. Gulen, who has lived in self-imposed exile in Pennsylvania since 1999, has denied the accusation and condemned the coup. Rights groups and some Western allies fear President Tayyip Erdogan is using the attempted coup as a pretext to stifle dissent.  The government argues the crackdown is necessary due to the gravity of the coup attempt, in which 240 people were killed. ",worldnews,"December 24, 2017 ",1
"Venezuela freeing some jailed activists, may expel diplomats","CARACAS (Reuters) - Venezuela s leftist government prepared to release some 80 jailed anti-government activists on Saturday, and threatened to expel envoys from Canada and Brazil after criticism over rights.  Delcy Rodriguez, head of the pro-government Constituent Assembly, told reporters the legislative superbody was recommending the detainees be given alternative punishments such as community service and compensation for victims. Thirteen activists were later paraded in front of state TV cameras during a meeting with Rodriguez, a hardline ally of President Nicolas Maduro. They looked stony-faced as they sat listening to her admonishments in the formal surroundings of Venezuela s colonial-era foreign ministry. Rights groups and foes of Maduro say authorities are unfairly holding 268 political prisoners for protesting against  dictatorship.  Maduro, the 55-year-old successor to Hugo Chavez, says all jailed activists are there on legitimate charges of violence and subversion.   Let it be understood that the events promoted by the extremist Venezuelan opposition, which caused Venezuelans  deaths, must not be repeated,  Rodriguez said. Some 170 people died in violence around two bouts of anti-Maduro street protests in 2014 and earlier this year.   The assembly president told the detainees at the meeting they would return to their detention centers for medical tests then be freed to spend Christmas with loved ones.  The releases, albeit with alternative sentences, could inject life into stuttering political talks between the government and opposition due to resume in the Dominican Republic in early January. Western nations and Latin American neighbors have been increasingly critical of Maduro this year, accusing him of stamping on democracy and human rights. The government says foreign nations are trying to encourage a right-wing coup. Rodriguez said the Constituent Assembly - which various foreign countries refuse to accept - was also recommending Brazil s ambassador Ruy Pereira and Canada s charge d affaires Craig Kowalik both be declared  persona non grata.  The Canadian government, which has imposed sanctions on Maduro s administration, said it would not be cowed into easing pressure on  the anti-democratic Maduro regime  in Venezuela.  Canadians will not stand by silently as the Government of Venezuela robs its people of their fundamental democratic and human rights, and denies them access to basic humanitarian needs,  said Global Affairs Canada, the government department that manages its foreign and trade relations. Brazil s foreign ministry also responded sternly.  If confirmed, the Venezuelan government s decision to declare Brazil s ambassador persona non grata shows once more the authoritarian stance of Nicolas Maduro s administration and its lack of willingness to engage in any dialogue,  it said, promising reciprocal measures. U.S. President Donald Trump s administration has been especially critical of Maduro, also imposing sanctions on him and other senior Venezuelan officials this year. Under new stewardship with the arrival of charge d affaires Todd Robinson last week, Washington s embassy in Caracas called on Saturday for the freedom of all jailed activists.  We urge Maduro s regime to respect human rights,  it tweeted.  Free them during this holiday time.  ",worldnews,"December 23, 2017 ",1
"In 'China's Jerusalem', Christians say faith trumps official Sunday School ban","WENZHOU, China (Reuters) - When authorities in China s southeastern city of Wenzhou outlawed Sunday School earlier this year, Christian parents determined their children must still learn about Jesus and the Bible. Churches in Wenzhou started teaching children in private homes or at other venues. Some billed Sunday School classes as daycare, not education, or moved them to Saturdays, more than a dozen local Christians told Reuters. Wenzhou, sometimes known as  China s Jerusalem  due to its sizable Christian community, is at the forefront of a growing standoff between China s leadership and the country s devout over religious education for children. The ruling and officially atheist Communist Party has increased efforts to curb the influence of Christianity, tightening restrictions on faith classes and warning against the religion s  Western  ideas. But Christians say the resolve of the community in Wenzhou suggests the party will struggle to exert control over the next generation of the country s 60 million Christians. In her house,  faith comes first, grades come second,  said one parent surnamed Chen, asking not to use her full name due to the sensitivity of the matter. Immaculately turned out in a cream fur coat and wearing a giant turquoise ring, Chen is one of Wenzhou s numerous wealthy Christians who say their children must attend Bible classes because state education fails to provide sufficient moral and spiritual guidance.   Drugs, porn, gambling and violence are serious problems among today s youth and video games are extremely seductive,  she told Reuters.  We cannot be by his side all the time so only through faith can we make him understand (the right thing to do).   In some districts of Wenzhou, in Zhejiang province, an official edict has prohibited Sunday Schools since August, according to three sources with direct knowledge of the matter.    The provinces of Zhejiang, Fujian, Jiangsu, Henan and the autonomous region of Inner Mongolia have barred children from faith activities including summer camp, Christian news site World Watch Monitor reported in September. Sources spoken to by Reuters were unaware if the policy was a local government initiative or centrally mandated. They also did not know of any similar bans in other regions of China.  Also in September, new rules were released expanding state oversight of religious education nationwide in what officials say is an attempt to create a new generation of religious leaders loyal to the party. China s State Administration for Religious Affairs and the foreign affairs office of the Wenzhou city government did not reply to faxed requests for comment.  In the last four decades of economic prosperity, China s faithful have multiplied rapidly. Official numbers say there are now around 30 million Christians, while independent estimates suggest the number is about 60 million, most of whom are Protestants.  In Wenzhou, a small Christian community started by 19th century missionaries has bloomed to over one million Christians. Until recent years, they had enjoyed a relatively relaxed relationship with local officials, residents said. Then, in 2014, a government campaign to demolish  illegal  churches and tear down the crosses that adorned them sparked an outcry from the Christian community and sowed mistrust of authorities among believers. The campaign came shortly after President Xi Jinping, who had been communist party chief of Zhejiang from 2002 to 2007, was appointed General Secretary of the party. But attempts to stem the rapid growth of believers has struggled in Wenzhou where churches, often funded by devout local business owners, are ubiquitous.  Wenzhou government does not let churches register, because there are way too many, so there are lots of house churches and it is tough for the government to manage them,  Zhao Gang, the minister at Wenzhou s Church of the Rose-tinted Clouds, told Reuters.      Sunday School textbooks have been especially sensitive in the clampdown in Wenzhou, teachers said. The government restricts religious publications, and churches often use translated texts from overseas. One teacher said classes resumed when they stopped using unsanctioned textbooks and avoided the words  Sunday School .  Chinese law officially grants religious freedom for all, including children, but regulations on education and protection of minors also say religion cannot be used to hinder state education or to  coerce  children to believe. Local governments in troubled areas of China, such as the far western region of Xinjiang, ban children attending religious events, but Christian communities elsewhere rarely face blanket restrictions. This year, the party has been unusually strict in warning university students, state-owned enterprise employees and officials themselves against celebrating Christmas, with admonitions such as to  resist the corrosion of Western religious culture , according to state media reports. While parents in Wenzhou want to control their children s education, the government is working to create a new crop of religious leaders loyal to the party. New rules governing religious schools from China s cabinet, due to take effect in February, are necessary to meet China s  pressing need  for patriotic religious leaders, Wang Zuoan, the head of China s official State Administration of Religious Affairs, told Reuters in written comments in October.  We hope that the talent graduating from religious schools will be up to standard in both their political and religious character and will do a good job of combining love for the country with love for religion,  he said. But for many Christians allowing the party to control religious education is unacceptable, as it requires putting the party before God, according to Sarah Cook, a New York-based analyst at Freedom House, an advocacy group. As such, the party can only do so much to control faith education.  There are always going to be kids at home whose bedtimes stories are from the Bible,  Cook said.  For Chen in Wenzhou, faith should be at the forefront of education until believers outnumber atheists in China s young.  There will definitely be more Christian believers in the next generation,  she said.  The ability for the Christian faith to be inherited and passed on is ever growing.  ",worldnews,"December 24, 2017 ",1
"Peru's Fujimori taken to hospital from prison, life at risk: doctor","LIMA (Reuters) - Peru s former President Alberto Fujimori was rushed from prison to a local hospital by ambulance late on Saturday after suffering a severe drop in blood pressure and abnormal heart rhythm that put him at risk of dying, Fujimori s doctor said. Cardiologists recommended that he be removed from prison immediately, Alejandro Aguinaga said.  It looks complicated,  he told journalists gathered outside the hospital. Fujimori, 79, is serving a 25-year sentence for graft and human rights crimes. He is a deeply divisive figure in Peru. While many consider him a corrupt dictator, others credit him with ending an economic crisis and bloody leftist insurgency during his 1990-2000 term. The medical emergency will likely heap pressure on center-right President Pedro Pablo Kuczynski to free the former  leader, a move that could rewrite political alliances and spark protests in one of Latin America s most stable economies. Three days earlier, a faction of Fujimori s supporters in Congress unexpectedly saved Kuczynski from a motion that would have forced him from office less than two years into his five-year-term. The opposition said Kuczynski only survived the vote by promising 10 lawmakers that he would free Fujimori if they backed him. Kuczynski s government denies the allegations. Fujimori fled Peru for his parent s native Japan as his government imploded in a graft scandal at the turn of the century. He was eventually extradited to Peru and was convicted for leading death squads that massacred civilians. Despite Fujimori s downfall, the rightwing populist movement Fujimori started in the 1990s remains one of the country s most potent political forces. His two adult children, Keiko and Kenji, lead rival factions of the rightwing party, Popular Force, that controls a majority of seats in Congress and pushed to oust Kuczynski this week. Over the past year, Kenji has challenged his sister Keiko s leadership and he has led calls for his release, which could give him a boost if he is freed. TV images showed Kenji, who led the faction that backed Kuczynski, riding in the ambulance that drove Fujimori to the Peruvian-Japanese Centenario Clinic for treatment.  If a (presidential) pardon happens now, it s because there was a pact,  Congresswoman Marisa Glave said on Twitter.  A pardon can t be decided in an under-the-table deal.  Glave is one of about 10 leftist lawmakers who - despite criticizing Kuczynski as a lobbyist - opted not to support the bid to oust him out of fear it would empower Popular Force. Fujimori s well-organized foes were key to Kuczynski s razor-thin victory over Keiko in last year s presidential election, and to keeping Keiko s followers from ousting him this week. Fujimori s supporters dismissed suggestions that his health troubles were a ruse to pave the way for a pardon.  There s no circus,  Luisa Maria Cuculiza, a former ruling party lawmaker during his government, said on local broadcaster RPP. ",worldnews,"December 23, 2017 ",1
"Mexico murders hit record high, dealing blow to president","MEXICO CITY (Reuters) - Mexico has this year registered its highest murder total since modern records began, according to official data, dealing a fresh blow to President Enrique Pena Nieto s pledge to get gang violence under control with presidential elections due in 2018. A total of 23,101 murder investigations were opened in the first 11 months of this year, surpassing the 22,409 registered in the whole of 2011, figures published on Friday night by the interior ministry showed. The figures go back to 1997. Pena Nieto took office in December 2012 pledging to tame the violence that escalated under his predecessor Felipe Calderon. He managed to reduce the murder tally during the first two years of his term, but since then it has risen steadily. At 18.7 per 100,000 inhabitants, the 2017 Mexican murder rate is still lower than it was in 2011, when it reached almost 19.4 per 100,000, the data showed. The rate has also held below levels reported in several other Latin American countries. According to U.N. figures used in the World Bank s online database, Brazil and Colombia both had a murder rate of 27 per 100,000, Venezuela 57, Honduras 64 and El Salvador 109 in 2015, the last year for which data are available. The U.S. rate was 5 per 100,000. Still, Pena Nieto s failure to contain the killings has damaged his credibility and hurt his centrist Institutional Revolutionary Party (PRI), which faces an uphill struggle to hold onto power in the July 2018 presidential election. The law bars Pena Nieto from running again. The current front-runner in the race, leftist Andres Manuel Lopez Obrador, has floated exploring an amnesty with criminal gangs to reduce the violence, without fleshing out the idea. Mexican newspaper Reforma said on Saturday that after a campaign stop in the central state of Hidalgo on Friday, Lopez Obrador again addressed the issue when asked whether talks aimed at stopping the violence could include criminal gangs.  There can be dialogue with everyone. There needs to be dialogue and there needs to be a push to end the war and guarantee peace. Things can t go on as before,  Reforma quoted Lopez Obrador as saying. Such a strategy harbors risks for the former Mexico City mayor. A poll this month showed that two-thirds of Mexicans reject offering an amnesty to members of criminal gangs in a bid to curb violence, with less than a quarter in favor. Separately, Lopez Obrador said on Saturday he would get rid of Mexico s intelligence agency CISEN if he won the July election, calling it an  unnecessary expense.   We re not going to monitor anybody, we re not going to spy, we re not going to listen to phone calls, or hack phones to get files and photos,  he said in the central town of Tezontepec. ",worldnews,"December 23, 2017 ",1
"Help refugees wherever they come from, Austria's Kurz says","BERLIN (Reuters) - Austria s new Chancellor, Sebastian Kurz, called for an end to  failed  attempts to achieve a quota system for distributing asylum seekers around the European Union and urged new efforts to help refugees in their country of origin. When he was foreign minister, Kurz, a conservative now governing in coalition with the far-right Freedom Party, was a strong critic of Chancellor Angela Merkel s decision to open Germany s borders to more than a million fleeing migrants in 2015. Since becoming Chancellor this week, he has aligned himself with central European neighbors like Hungary and the Czech Republic in opposing German-backed proposals to distribute asylum seekers around EU member states.  Forcing states to take refugees doesn t take Europe any further. The discussion makes no sense,  he told Germany s Bild am Sonntag newspaper.  Migrants who set off for Europe don t want to go to Bulgaria or Hungary. They want to go to Germany, Austria or Sweden.  Instead of doubling down on what he termed a  failed  policy, Kurz called for the EU to support,  perhaps militarily , efforts to help migrants in their countries of origin or in neighboring states.  If that isn t possible, then they should be helped in safe areas on their own continent,  he said.  The EU should support that, perhaps even organize it, and back it militarily.  It was not clear from the interview extracts, published by the newspaper, what kind of military support he envisaged. But European leaders have on occasion suggested the EU contribute to peacekeeping operations to stabilize conflicts in Africa. The question of how to deal with streams of migrants fleeing war and poverty in the Middle East and Africa also divides Merkel s conservatives and the Social Democrats (SPD) as they prepare for talks on forming a new government. Hard-line members of Merkel s conservative camp demand tight absolute caps on the numbers of refugees allowed to enter Germany each year, while a senior SPD official on Saturday suggested local authorities around Europe be paid to house refugees. ",worldnews,"December 23, 2017 ",1
