title,text,subject,date,label
罗马尼亚下议院批准了有争议的法院法案,布加勒斯特（路透社）——罗马尼亚下议院，由执政的社会民主党主导，于周一批准了一项法案，该法案改变了法官监督的方式，批评人士认为这威胁到了司法独立和反腐败的努力。过去几周来，成千上万的罗马尼亚人在首都布加勒斯特和其他城市集会抗议政府计划改革欧盟最腐败成员国之一的司法系统。议员们以179票对90票通过了这项法案。自11月中旬以来，议会一直在讨论这项立法，欧洲委员会和数千名法官表示，这将使司法系统受到政治控制。辩论过这些变化的议会委员会由前司法部长弗洛林·约尔达赫领导，他在今年2月辞职，当时他起草的一项关于腐败的法令引发了自1989年反共产主义革命以来最大的集会。法案中争议的部分包括改变一个负责监督法官行为的司法检查单位。它还将改变首席检察官任命的方式，剥夺总统审核候选人的权利，以及修改检察官活动的定义，不包括“独立”这个词。检察官根据合法性、公正性、层级控制和司法部权威的原则开展工作，法案中写道。    该法案还提到财政部的义务，即从作出判决的法官那里收回因司法错误而造成的任何损失，而不是从国家资金中收回。专家们表示，这可能扭曲法院的判决。该法案将被送交参议院进行辩论。参议院将于本月晚些时候对该法案进行投票，参议院拥有最终决定权。透明国际将罗马尼亚列为欧盟最腐败的国家之一，布鲁塞尔一直密切关注着罗马尼亚的司法系统。在11月15日的一份报告中，欧洲委员会表示，今年的司法改革停滞不前，司法独立的挑战仍然是持续关注的问题。,worldnews,"December 11, 2017 ",1
独家：菲律宾在推行登革热免疫计划时违背了专家的建议,马尼拉（路透社）——正如她在2016年1月宣布菲律宾将为100万名儿童接种新的登革热疫苗时所说，时任卫生部长珍妮特·加林（Janette Garin）自豪地宣称这是世界首例，也是对她的国家在研究方面的专业知识的致敬。当时看来，菲律宾似乎即将取得突破，以对抗这种致命的热带病毒，该病毒几十年来一直在该国大部分地区肆虐。将近两年后，该项目已陷入混乱并被暂停，因为法国药企赛诺菲（Sanofi）旗下的赛诺菲巴斯德公司（Sanofi Pasteur）上个月表示，该疫苗本身在某些情况下可能会增加未感染过该病毒的接受者患严重登革热的风险。路透社审查了尚未披露的文件以及与当地专家的访谈显示，菲律宾卫生部（DOH）由医生和药剂学家组成的咨询机构提出的建议在项目推出给83万名儿童之前并未得到重视。珍妮特的公告之后，顾问团（Formulary Executive Council，FEC）敦促谨慎对待该疫苗，因为它认为其安全性和成本效益尚未得到证实。经过两次会议讨论后，该小组于2016年2月1日批准了政府的疫苗采购计划，但提出了严格条件，会议记录显示。根据向委员会提交的可获得科学证据，仍需建立长期的安全性、有效性和成本效益性，FEC在当天致信Garin表示。这封信被路透社查阅到。FEC称登革热疫苗应通过小规模试点测试和逐步实施的方式引入，而不是同时在全国三个目标区域进行，且只有在详细研究了目标地区的登革热流行程度和毒株后才可进行，会议记录和信件中提到。专家们还建议分批购买登革热疫苗，以便能够谈判价格。据会议记录透露，Garin本部门委托的经济评估报告发现，每剂2100比索（21.29美元）的提议成本从公共支付者的角度来看“并非经济高效”。由于原因不明，这些建议被忽视了。DOH以一份订单购买了300万剂的登革热疫苗，足够满足每个孩子所需的3次疫苗接种，并按每剂1000比索的价格支付，路透社查阅到的购买订单副本显示。它确实进行了有限的基线研究，但在2016年2月和3月进行的调查仅关注常见疾病而非登革热的流行情况，根据Garin办公室当时发布的指导方针和路透社查阅到的资料。Garin曾担任前总统贝尼尼奥·阿基诺（Benigno Aquino）政府的一员并在罗德里戈·杜特尔特（Rodrigo Duterte）于2016年6月上台后接任，她没有回应为何忽视当地专家的建议。作为一名医生，她捍卫自己的行为和一个她所说的“按照世卫组织（WHO）指导和推荐实施”的项目。“我理解人们的担忧，”她在上周五接受菲律宾电视频道ABS-CBN采访时说，“甚至我们也很生气，当我们得知赛诺菲关于严重登革热的声明时。我也是个母亲。我的孩子也被接种过了。我也接种过了。”DOH发言人林登·李（Lyndon Lee Suy）也没有回复短信或电子邮件问题。赛诺菲菲律宾拒绝就菲律宾政府的决定发表评论。然而，赛诺菲巴斯德的全球医学负责人苏平（Su-Peing Ng）博士告诉路透社：“我们已经向菲律宾政府传达了所有已知的好处和风险。”菲律宾微生物学和传染病学会的前主席Rontgene Solante表示，卫生官员受到激励，想要结束登革热对该国造成的影响，每年约有20万例确诊病例，还有更多未报告的病例。去年有超过1000人死于该病。FEC致信卫生秘书两个月后，DOH开始在2016年4月开始为一百多万名大约10岁的学生接种疫苗，这三个目标区域的学生都在内，尽管这与FEC的建议相悖，即应该缓慢推出该疫苗。菲律宾卫生部的常规程序已经保护我们的孩子几十年了，但没有遵循。这是一个事实，前菲律宾卫生部副部长Susan Mercado和世界卫生组织（WHO）的前高级官员表示。2016年4月，WHO表示，菲律宾的运动似乎符合使用登革热疫苗Dengvaxia的标准，因为目标地区的登革热暴露水平很高；该疫苗将被提供给年龄9岁及以上的儿童；他们每人将获得三剂。根据会议记录，FEC的审议过程并未涉及世卫组织。世卫组织上周在一则声明中表示，它在2016年7月发表的登革热疫苗立场文件中没有包括建议各国引入该疫苗。现在，在赛诺菲发出警告后，世卫组织同意政府暂停免疫接种项目的决定。现任卫生部长Francisco Duque表示，他将在对FEC的建议和项目进行全面分析后再做判断。他说，委员会的建议不具有法律约束力。“最终的决定是由（卫生）部长做出的，”他对路透社说。“但是，鉴于FEC成员的专业知识,worldnews,"December 10, 2017 ",1
加泰罗尼亚抗议者因宗教文物“掠夺”与警方发生冲突,巴塞罗那（路透社）- 在12月21日选举前的紧张局势加剧之际，抗议者于周一与试图从加泰罗尼亚博物馆夺回有争议宗教文物的警察发生冲突。邻省阿拉贡的一个修道院称，其44件以上的文物在20世纪80年代非法出售给了加泰罗尼亚，这一问题已成为更大分歧的象征，反对和拥护加泰罗尼亚独立的双方对此存在分歧。文化部长伊尼戈·门德兹·维霍在11月份通过特别临时权力接受来自阿拉贡法官的请愿书，要求将这些文物归还给其原来的家——西詹纳修道院，此举激怒了加泰罗尼亚民族主义者。上个月，马德里接管了加泰罗尼亚以平息分裂危机并宣布举行紧急地区选举。数百名示威者在加泰罗尼亚西部莱里达博物馆聚集，该馆收藏了这些文物，独立派团体呼吁支持者阻止警方将其带走。虽然发生了小规模冲突，但无人受伤，文物最终在中午时分被带走。目前身处布鲁塞尔流亡的前加泰罗尼亚领导人卡尔斯·普伊格登蒙特在推特上批评了这一举动，并将责任归咎于即将参加选举的三支主要联合党派：执政的人民党、社会党和公民党。“夜间行动，使用军事化警力，利用政变机会对加泰罗尼亚进行掠夺，完全不受惩罚：这就是Ciudadanos、PSC和PP所捍卫的模式，”普伊格登蒙特说。首相马里亚诺·拉霍伊表示，他的政府不能反对法院裁决，因为这等于超越法律。,worldnews,"December 11, 2017 ",1
黎巴嫩真主党纳斯拉拉说该组织将专注于以色列,BEIRUT（路透社）——黎巴嫩真主党领导人赛义德·哈桑·纳斯鲁拉于周一表示，该组织和其在该地区的盟友将在他们所谓的在其他地区取得胜利后重新专注于巴勒斯坦事业。纳斯鲁拉呼吁真主党的盟友制定一个统一的战略，以应对以色列。伊朗支持的该组织一直在叙利亚与伊斯兰国作战，并与区域盟友并肩作战，该组织已基本被击败。纳斯鲁拉通过视频连线在贝鲁特的一次大型抗议活动中讲话，抗议美国决定承认耶路撒冷是以色列首都并将大使馆迁至那里。周六发布了一段视频显示，伊拉克什叶派民兵指挥官访问了黎巴嫩的以色列边境，似乎由一名真主党指挥官陪同。纳斯鲁拉在今年六月表示，任何未来以色列对黎巴嫩或叙利亚发动的战争都可能吸引包括伊朗和伊拉克在内的国家的战士参与。    周一他重申了他上周提出的号召，要求一个新的反对以色列的巴勒斯坦起义，并呼吁阿拉伯国家放弃和平进程，称与美国进行的谈判是徒劳的。他说：“今天，抵抗轴心，包括真主党，将回归为其最重要的优先事项……耶路撒冷、巴勒斯坦和巴勒斯坦人民以及所有派别的巴勒斯坦抵抗。” 真主党成立于20世纪80年代，作为对抗以色列占领南部黎巴嫩的抵抗运动，他们仍然是死敌。以色列和真主党在2006年进行了一场短暂的战争，今年随着以色列打击真主党武器库和车队，紧张局势再次升级。,worldnews,"December 11, 2017 ",1
俄罗斯军事首脑批评美、日、韩演习,东京（路透社）——俄罗斯军方负责人周一警告说，日本、美国和韩国旨在对抗朝鲜的军事演习只会加剧恐慌并使该地区局势更加不稳定。俄军总参谋长瓦列里·格拉西莫夫将军在东京发出这一警告时，美、日、韩三国开始了为期两天的演习，以练习追踪导弹，这是在朝鲜武器计划日益紧张的背景下进行的。 格拉西莫夫在与日本防卫大臣小野寺五典举行会谈一开始就表示：“在朝鲜周边地区进行军事训练只会加剧恐慌并使局势变得不稳定。” 美国及其两个亚洲盟友本周举行的演习中，他们将在追踪弹道导弹方面分享信息，这发生在几天前美韩举行了大规模演习之后，朝鲜称这使得战争爆发成为“既定事实”。朝鲜表示其武器项目是为了应对美国的侵略而必要的。11月29日，朝鲜试射了其最新型弹道导弹，并表示这是其最先进的型号之一，能够抵达美国本土。中国也多次要求美国和韩国停止他们的演习，因为朝鲜认为这些演习是为入侵做准备。 中国外交部发言人陆慷在北京被问及最新的美、南韩和日本的演习时说，情况陷入恶性循环，如果按照这种趋势发展下去，对任何人都无益处。他说：“所有相关方应该做的是完全、准确地全面实施有关联合国安理会关于朝鲜的相关决议，并为区域和平与稳定做出更多努力，让各方回到谈判桌前。而不是相反，相互挑衅。” 格拉西莫夫访问日本是七年来首位高级别俄罗斯军官访日，此次访问是在今年3月俄罗斯吞并克里米亚后恢复“2+2”防务和外交部长会谈之后进行的。俄罗斯和日本几十年来因争夺位于日本北海道北部北方的四个岛屿的所有权而关系紧张，这些岛屿是在二战结束时由苏联占领的。 日本拒绝签署正式的和约，直到解决争端为止。格拉西莫夫还见了日本自卫队总参谋长安藤宽治。 中国国防部星期一说，它已开始与俄罗斯在北京联合模拟反导弹演习，这对两国来说具有重要意义，因为它们都面临着来自导弹的威胁。声明中说，这次演习并非针对第三方。 中俄两国都反对全球反导系统的开发，国防部补充说。中俄两国都反对在南韩部署先进的美国终端高空区域防御（THAAD）反导弹系统。特别是中国担心该系统的强大雷达可能会深入到其领土内部，威胁其安全。 美韩表示需要这个系统来抵御朝鲜导弹的威胁。尚不清楚本周的美、韩、日三国的演习是否涉及THAAD系统。,worldnews,"December 11, 2017 ",1
印度对一名涉嫌性侵宝莱坞女演员的航空公司乘客提起性侵犯案件。,孟买（路透社）——印度警方对一名航空公司乘客提起性侵案，原因是17岁的宝莱坞女演员称在从新德里飞往孟买的航班上遭到该男性乘客性骚扰，警方周一表示。一家特别法院命令警方拘留该乘客进行审讯，直到周三案件再次开庭。在印度正式起诉需要数个月时间。女演员扎伊拉·瓦西姆在Instagram上发布的一段视频中可以看到她下车后哭泣。她声称坐在她后面的乘客对她进行了攻击。她在帖子中说：“他不断碰我的肩膀，继续把他的脚上下移动到我的背部和颈部。” “我们就是这样对待女孩的吗？”这段视频在社会媒体上引起了公愤，粉丝纷纷支持瓦西姆，她在2016年宝莱坞大片《摔跤吧！爸爸》中扮演儿童摔跤手而声名鹊起。孟买警察控制室的一名官员说，警方根据第354条“以侮辱妇女名誉为目的对妇女实施暴力或使用暴力”以及《防止儿童虐待法》，对一名被确认为维卡斯·萨乔达的人立案调查。维斯塔拉由塔塔和新加坡航空共同拥有。维斯塔拉首席战略和商业官山吉夫·卡普尔说：“我们正在全面调查并将全力支持扎伊拉。”我们对这种事情零容忍。萨乔达和他的律师都未能联系上。在法庭上，萨乔达的律师指责瓦西姆为了宣传目的才提出指控，并质问为什么没有在飞行过程中向机组人员投诉。据当地媒体报道，嫌疑人的妻子迪维亚·萨乔达称丈夫是无辜的，并表示她是参加完葬礼后返回，并在飞机上睡着了。她指责瓦西姆是为了宣传目的才提出了指控。一位航空公司发言人表示，该公司已向警方和航空当局提供了细节，其高级管理层已飞往孟买协助瓦西姆进行调查。“我们对昨晚乘坐我们航班的扎伊拉女士的不幸经历深感关切和遗憾，”这位发言人说。据当地媒体报道，印度国家妇女委员会——一个政府任命的争取妇女权益的组织——要求航空公司解释为什么机组人员没有挺身而出帮助这位女演员。瓦西姆来自印度北部查谟和克什米尔邦，她在视频中擦去眼泪时说：“这不应该发生。”,worldnews,"December 11, 2017 ",1
科西嘉的民族主义者在大选胜利后梦想更大了,法国阿雅克肖（路透社）——科西嘉民族主义者周一表示，在赢得地方选举近三分之二席位后，现在是时候与巴黎就赋予法国地中海岛屿更多自治权进行谈判了。他们在周日投票中支持他们事业的原因是他们对法国主流政党不满，这一趋势在其他欧洲地区也助长了分离主义野心。他领导的两个党派联盟“皮埃-科西嘉”（为了科西嘉岛）获得了周日选票的56%以上和63个席位的41个席位。与加泰罗尼亚不同，科西嘉的民族主义者淡化了对独立的任何野心，称这个岛屿——拿破仑出生地——缺乏西班牙地区的人口和经济影响力。但Simeoni说，他想让当地当局在财政问题上拥有更大的发言权，使科西嘉语成为官方语言，并限制在某些地区购买房产的权利，要求这些人在岛上居住至少五年。他在获胜后对欢呼的支持者说：“这是我们许多人认为永远不会见证的时刻。”他指的是民族主义者仅在两年前才开始在科西嘉岛的选举中取得进展。“我们的梦想正在变成现实。”呼吁寻找“政治解决方案”的Simeoni告诉路透社：“这是一个新时代的开始，球现在在政府的场地上。”民族主义者的选票还受益于该岛最活跃的秘密组织——科西嘉国家解放阵线（FLNC），它在2014年放下武器，结束了近四十年的叛乱。初选日期为12月3日的第二轮选举的投票率略高于50%。但政府似乎正在倾听对话的要求，总理爱德华·菲利普周日打电话祝贺他的胜利，并表示愿意很快在巴黎见他，菲利普办公室说。科西嘉的人口只有32万，经济规模仅为86亿欧元（103亿美元）。,worldnews,"December 11, 2017 ",1
匈牙利总理表示，该国没有计划将以色列大使馆迁往耶路撒冷。,布达佩斯（路透社）- 匈牙利总理维克托·奥班（Viktor Orban）周一表示，匈牙利没有计划将其以色列大使馆迁往耶路撒冷，并补充说政府的中东政策没有改变。据HirTV网站发布的奥班讲话录音报道，他在回答议会问题时对记者说：“这个问题还没有提出来。” 奥班说，匈牙利看不出有理由改变其中东政策。“我们将继续推行我们一直在追求的平衡外交政策。”他没有进一步解释。上周五，匈牙利阻止了所有欧盟28个成员国就特朗普宣布的计划发表的声明，外交部表示，匈牙利支持通过谈判解决中东问题。,worldnews,"December 11, 2017 ",1
普京与埃及塞西讨论重启航班、签署核协议,开罗（路透社）——俄罗斯总统弗拉基米尔·普京于周一与埃及总统阿卜杜勒·法塔赫·塞西举行了会谈，同意恢复两年前因莫斯科一架客机在西奈半岛被激进分子炸毁而暂停的民用航班。普京对开罗的最新访问反映了俄罗斯和埃及之间日益加深的关系，埃及是继以色列之后美国军事援助的第二大接受国，也是中东地区一个重要的战略伙伴，因为其控制着苏伊士运河。普京飞往土耳其后短暂参观了叙利亚的一个俄罗斯基地，并在抵达埃及后下令俄罗斯军队开始从叙利亚撤军，结束了为期两年的军事行动。在开罗，埃及和俄罗斯部长签署了一项价值210亿美元的协议，以开始在埃及建设达巴核电站，并宣布莫斯科准备恢复俄罗斯向埃及的民用航班。莫斯科在2015年停止了前往埃及的民航，当时激进分子在一架俄罗斯Metrojet航班的飞机上引爆炸弹，导致飞机从沙姆沙伊赫旅游胜地起飞时坠毁，机上224人遇难。袭击事件以及莫斯科的决定损害了埃及本已陷入困境的旅游业。埃及机场检查和恢复航班谈判已经进行了数月。 普京说：“俄罗斯安全部门向我报告说，总的来说，我们准备好开通莫斯科和开罗之间的直航。” “这需要签订相应的政府间协议。”俄罗斯交通部长告诉记者，航班可能将于2月初恢复，俄罗斯准备本周与埃及签署一项协议。早些时候，俄罗斯国家原子能公司Rosatom表示，该公司将在埃及建设的达巴核电站将有四个反应堆，耗资高达210亿美元。预计将于2028年至2029年完工。莫斯科和开罗于2015年签署了初步协议，由俄罗斯负责建设该工厂，俄罗斯还向埃及提供了贷款以支付建设费用。塞西表示，两位领导人还讨论了工业项目、贸易以及俄罗斯在埃及的投资，包括在苏伊士运河经济特区内的投资。塞西和普京还就叙利亚问题进行了磋商，并共同反对美国总统唐纳德·特朗普决定承认耶路撒冷是以色列首都的决定，这一举动引发了整个地区和欧洲首都的抗议。 普京说：“我们对关键国际问题的看法进行了详细的交流。我们的立场要么完全一致，要么非常接近。” 高层俄罗斯的访问是在美国政府今年8月决定拒绝向埃及提供9.57亿美元援助并将另外1.95亿美元援助推迟，原因是埃及未能取得人权和民主规范方面的进展。俄罗斯于2015年9月开始支持叙利亚总统巴沙尔·阿萨德进行军事行动，迹象表明莫斯科渴望在该地区扩大其军事存在。周一，两位领导人都没有提及11月份俄罗斯政府公布的一项协议草案，该协议允许俄罗斯和埃及两国使用彼此的空域和空军基地供军用飞机使用。但普京一直在稳步加强与埃及的关系。他在2015年首次访问开罗时，成为第一位会见塞西的大国领导人，这位前埃及陆军司令在2013年推翻伊斯兰教派领袖穆罕默德·穆尔西后上台。这促使华盛顿冷却与埃及的关系，美国政府暂停了一些军事援助。自那时起，这两位领导人的合作不断加强，恢复了20世纪70年代埃及和苏联的历史性联盟。,worldnews,"December 11, 2017 ",1
英国政府接受立法者对脱欧法律变更进行审查的要求,"伦敦（路透社）-英国政府发言人周一表示，特蕾莎·梅首相将为议员们提供更多监督与欧盟断绝关系的过程。这一让步旨在防止议会的潜在反叛，并将被纳入欧盟脱欧法案——这是梅的脱欧战略的核心支柱之一。包括执政的保守党成员在内的几位国会议员已经对其复制和粘贴欧盟规则进入英国法律的计划提出了质疑，称这些计划使部长在没有议会同意的情况下更改法律。

为了解决这些问题，一个由国会议员组成的委员会提议增加一层对这类变更的议会审查。发言人告诉记者：“我们已经详细研究了程序委员会的报告并听取了各方意见，今天我们宣布接受这项修正案。”

该计划是建立一个“筛选委员会”，以审查政府发布的每一项拟议变更，并建议如何获得议会的批准。尽管所有变更都将得到议会批准，但其中一些可以推荐进行更详细的审查。将欧盟法律转移到英国法律是为了在2019年3月英国退出后给企业提供法律确定性。议会将其描述为英国有史以来最大的立法项目之一。",worldnews,"December 11, 2017 ",1
